episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
1938,3.2977631092071533,-0.3771976814591374,50,33,151,114,5,0,32,62.75,0.05
1939,,-1.6682452285308558,22,26,60,26,1,0,33,93.84,0.05
1940,3.006906509399414,-1.4222747511753542,51,37,95,69,4,0,22,37.14,0.05
1941,,-1.3544418479399514,50,36,95,75,1,0,19,40.99,0.05
1942,2.802398443222046,-0.9841406168125337,51,37,118,83,3,0,32,45.17,0.05
1943,,-0.6890164428481115,50,34,126,80,5,0,41,65.64,0.05
1944,3.2308802604675293,-0.774338335593134,50,28,100,82,2,0,16,45.71,0.05
1945,,-1.195997693128451,53,42,118,96,3,0,19,47.71,0.05
1946,3.2015786170959473,-0.9818737155298785,50,35,110,81,1,0,28,38.86,0.05
1947,,-1.1060434842616058,50,39,115,82,2,0,31,55.92,0.05
1948,2.979753017425537,-1.4990883249075986,50,37,92,76,1,0,15,36.68,0.05
1949,,-1.820348602384601,53,43,94,77,2,0,15,42.32,0.05
1950,3.4751670360565186,-1.3087248024742448,50,32,86,69,1,0,16,40.2,0.05
1951,,-1.2980577078266944,50,39,104,86,1,0,17,36.79,0.05
1952,3.351410150527954,-0.40698781015675295,36,30,134,79,0,0,55,94.41,0.05
1953,,-0.6791775606560226,50,41,153,92,2,0,59,54.43,0.05
1954,3.5639724731445312,-0.9354163815898695,51,40,128,93,1,0,34,51.08,0.05
1955,,-0.7489045361099013,50,37,132,103,0,0,29,59.58,0.05
1956,3.5853564739227295,-0.976934606804853,54,42,132,94,3,0,35,46.76,0.05
1957,,-0.9171626096814368,50,36,118,71,3,0,44,85.88,0.05
1958,3.2022366523742676,-1.4795457570049875,50,42,104,83,2,0,19,42.23,0.05
1959,,-2.0972164598136827,51,45,89,74,1,0,14,42.43,0.05
1960,3.293999195098877,-0.8698560070888068,50,40,134,89,0,0,45,68.53,0.05
1961,,-0.4836309082115408,50,30,126,81,5,0,40,76.64,0.05
1962,2.719489336013794,-1.3939531369805918,50,47,120,88,4,0,28,56.09,0.05
1963,,-1.0936778828986005,50,42,127,94,0,0,33,45.87,0.05
1964,3.0068368911743164,-0.9412216658974466,51,33,105,83,1,0,21,41.65,0.05
1965,,-1.7698833024885718,51,37,84,65,1,0,18,40.47,0.05
1966,3.658547878265381,-1.1792357707018533,50,37,105,83,2,0,20,41.75,0.05
1967,,-0.9325916532100771,50,39,123,86,1,0,36,44.16,0.05
1968,2.958961009979248,-1.1606752363729762,51,45,133,97,3,0,33,45.89,0.05
1969,,-1.3213062067800196,51,42,113,82,1,0,30,54.99,0.05
1970,3.2239303588867188,-1.6822331199163414,50,40,92,69,1,0,22,42.21,0.05
1971,,-1.1836246702214557,50,42,119,101,3,0,15,39.54,0.05
1972,3.128129005432129,-1.3658830465485463,50,37,97,77,2,0,18,41.39,0.05
1973,,-1.6933102395068413,52,43,100,79,2,0,19,37.01,0.05
1974,3.1030473709106445,-1.421383536165474,51,39,99,73,1,0,25,55.03,0.05
